id,capacity,createdAt,updatedAt,schoolId,houseId
1,4,2024-03-18 16:59:04.422+00,2024-03-29 13:30:26.678+00,3,2
,,2024-03-21 22:42:12.27+00,2024-03-29 13:30:20.891+00,,
,,2024-03-21 22:45:11.87+00,2024-03-28 23:02:46.734+00,,
,,2024-03-21 22:45:32.95+00,2024-03-28 20:02:02.261+00,,
,,2024-03-21 22:46:44.228+00,2024-03-28 20:01:56.003+00,,
,,2024-03-27 11:48:31.499+00,2024-03-29 07:53:03.741+00,,
,,2024-03-27 23:22:13.777+00,2024-03-28 23:04:49.754+00,,
,,2024-03-28 20:05:01.161+00,2024-03-29 07:49:51.068+00,,
,,2024-03-28 21:43:43.042+00,2024-03-29 13:30:32.565+00,,
,,2024-03-28 21:59:40.867+00,2024-03-29 07:49:55.669+00,,
,,2024-03-28 23:03:43.095+00,2024-03-28 23:03:56.27+00,,
,,2024-03-29 07:52:06.085+00,2024-03-29 07:52:59.351+00,,
,,2024-03-29 13:43:38.154+00,2024-03-29 13:43:55.642+00,,
,,2024-03-29 13:43:44.123+00,2024-03-29 13:43:51.55+00,,
,,2024-03-29 13:49:57.742+00,2024-03-29 13:49:57.742+00,,
,,2024-03-29 13:50:13.975+00,2024-03-29 13:50:13.975+00,,
,,2024-03-29 15:28:48.043+00,2024-03-29 15:28:48.043+00,,
